purchase_id,crop_type,farm_id,purchase_complete,total_price,total_quantity,purchase_date,farmer_name
64,Golden Harvest Acres,9,false,36746.2,5667,10/3/2023,Nara Hurne
65,Silver Lake Dairy,17,true,22558.76,4404,8/9/2023,Renell Heeks
66,Autumn Ridge Farm,9,true,10593.17,3455,9/27/2023,Luis Sautter
67,Winterfell Ranch,32,false,74471.38,940,2/17/2023,Jennilee Hucquart
68,Autumn Ridge Farm,28,false,57943.75,3457,4/16/2023,Romona Rigeby
69,Winterfell Ranch,30,true,25644.01,3505,10/21/2023,Sherill MacInerney
70,Meadowbrook Estate,10,false,27889.06,8678,4/2/2023,Hephzibah Abbatt
71,Willow Creek Homestead,24,true,56394.73,1678,11/12/2023,Aubrette Matussevich
72,Meadowbrook Estate,37,false,89875.06,3046,6/13/2023,Geneva Akhurst
73,Northern Light Farm,5,true,19963.42,4356,7/12/2023,Cahra Leeke
74,Northern Light Farm,20,false,19328.59,4656,3/3/2023,Ardys Lyngsted
75,Sunny Meadow Farm,27,false,15112.75,550,9/12/2023,Lavena Knightsbridge
76,Winterfell Ranch,10,false,22440.62,3611,9/1/2023,Armand Masham
77,Prairie Wind Farms,26,false,749.15,2053,6/15/2023,Franklin Petrik
78,Prairie Wind Farms,24,false,27615.49,5263,11/27/2023,Ines Bettaney
79,Northern Light Farm,10,true,30936.69,5726,2/25/2023,Chantalle Wyllcocks
80,Northern Light Farm,16,false,79161.93,6874,4/20/2023,Thedric Hartright
81,Autumn Ridge Farm,1,true,98081.97,1485,4/2/2023,Jennie Hainning
82,Meadowbrook Estate,34,false,62798.91,6050,4/1/2023,Rebecka Godmar
83,Golden Harvest Acres,29,false,22726.69,8325,9/16/2023,Kimberly Wasiel
84,Spring Meadow Farm,20,false,57452.84,7601,9/14/2023,Kacy Boles
85,Twilight Vineyards,14,false,71692.46,2648,10/18/2023,Washington Malone
86,Silver Lake Dairy,21,true,52175.91,8356,5/15/2023,Ira Kubik
87,Prairie Wind Farms,18,false,86237.55,5758,12/31/2022,Cosmo Harcourt
88,Prairie Wind Farms,20,true,51115.21,1218,4/24/2023,Lurleen Cornwall
89,Spring Meadow Farm,33,false,11527.07,4091,3/8/2023,Lilith Barreau
90,Spring Meadow Farm,15,false,59510.88,6118,12/14/2022,Mannie Llewellyn
91,Sunny Meadow Farm,3,false,317.04,7337,10/9/2023,Archy McAuliffe
92,Prairie Wind Farms,12,true,9489.08,6902,7/17/2023,Boot Glossop
93,Whispering Pines Farmstead,22,true,4503.04,3786,5/11/2023,Claiborne Sidnell
94,Spring Meadow Farm,32,true,78105.83,2287,8/6/2023,Betteann Bauer
95,Sunny Meadow Farm,27,true,13111.0,3222,2/22/2023,Kellsie Fitchell
96,Meadowbrook Estate,19,false,73625.05,8785,7/6/2023,Tootsie Brittian
97,Eastwood Farms,37,true,77815.24,8760,3/23/2023,Melodie Tegeller
98,Eastwood Farms,32,false,52004.96,8235,12/9/2022,Veronika Banger
99,Twilight Vineyards,5,false,64532.34,2546,4/30/2023,Keeley Lilliman
100,Blue Sky Orchards,25,false,24929.87,4400,1/18/2023,Leon Riddlesden
101,Prairie Wind Farms,7,true,73226.85,9667,5/22/2023,Aurie Lowensohn
102,Autumn Ridge Farm,39,false,75434.91,2329,1/23/2023,Killie Prudence
103,Prairie Wind Farms,2,false,2613.3,2831,3/3/2023,Allin MacDonell
104,Blue Sky Orchards,9,true,20342.89,6202,7/6/2023,Nara Hurne
105,Blue Sky Orchards,17,false,20151.82,5465,7/24/2023,Renell Heeks
106,Blue Sky Orchards,9,true,25287.83,8983,4/13/2023,Luis Sautter
107,Blue Sky Orchards,32,true,82197.15,7768,6/13/2023,Jennilee Hucquart
108,Spring Meadow Farm,28,false,96503.44,6788,1/27/2023,Romona Rigeby
109,Winterfell Ranch,30,true,44365.72,3904,6/26/2023,Sherill MacInerney
110,Rolling Hills Vineyard,10,true,47412.96,5157,6/25/2023,Hephzibah Abbatt
111,Spring Meadow Farm,24,false,65081.71,4223,5/10/2023,Aubrette Matussevich
112,Riverbend Cattle Co.,37,true,31310.42,5182,5/28/2023,Geneva Akhurst
113,Northern Light Farm,5,true,56120.87,6277,4/15/2023,Cahra Leeke
114,Blue Sky Orchards,20,true,20161.5,643,2/26/2023,Ardys Lyngsted
115,Blue Sky Orchards,27,false,83697.24,2778,6/15/2023,Lavena Knightsbridge
116,Maplewood Poultry Farm,10,false,86228.7,6236,8/16/2023,Armand Masham
117,Autumn Ridge Farm,26,true,48436.56,7488,9/29/2023,Franklin Petrik
118,Sunny Meadow Farm,24,true,91911.36,8766,7/18/2023,Ines Bettaney
119,Autumn Ridge Farm,10,true,46556.5,6557,7/6/2023,Chantalle Wyllcocks
120,Eastwood Farms,16,false,22382.7,2174,5/2/2023,Thedric Hartright
121,Prairie Wind Farms,1,false,95027.56,8156,12/30/2022,Jennie Hainning
122,Island Retreat Farm,34,false,98800.4,3204,12/11/2022,Rebecka Godmar
123,Blue Sky Orchards,29,true,52760.23,3970,9/26/2023,Kimberly Wasiel
124,Eastwood Farms,20,true,9044.09,2712,3/7/2023,Kacy Boles
125,Spring Meadow Farm,14,false,1425.83,8834,4/11/2023,Washington Malone
126,Rolling Hills Vineyard,21,true,98442.23,7242,10/7/2023,Ira Kubik
127,Meadowbrook Estate,18,false,76408.54,2745,1/30/2023,Cosmo Harcourt
128,Winterfell Ranch,20,false,63140.88,6782,4/25/2023,Lurleen Cornwall
129,Sunset Orchard,33,false,58277.93,5633,2/27/2023,Lilith Barreau
130,Winterfell Ranch,15,true,7915.33,8167,10/12/2023,Mannie Llewellyn
131,Prairie Wind Farms,3,false,37503.62,3268,5/14/2023,Archy McAuliffe
132,Autumn Ridge Farm,12,false,58470.22,924,3/11/2023,Boot Glossop
133,Maplewood Poultry Farm,22,false,7229.01,9164,5/14/2023,Claiborne Sidnell
134,Willow Creek Homestead,32,false,15180.47,8784,6/26/2023,Betteann Bauer
135,Autumn Ridge Farm,27,false,69532.26,8020,8/31/2023,Kellsie Fitchell
136,Winterfell Ranch,19,false,75813.49,9855,12/28/2022,Tootsie Brittian
137,Meadowbrook Estate,37,true,11125.73,3104,11/30/2023,Melodie Tegeller
138,Eastwood Farms,32,true,77242.07,3040,7/20/2023,Veronika Banger
139,Silver Lake Dairy,5,true,88940.06,7101,11/13/2023,Keeley Lilliman
140,Silver Lake Dairy,25,true,79548.33,3076,4/1/2023,Leon Riddlesden
141,Twilight Vineyards,7,false,92707.97,4447,4/6/2023,Aurie Lowensohn
142,Silver Lake Dairy,39,false,70787.87,2554,4/25/2023,Killie Prudence
143,Silver Lake Dairy,2,false,29070.95,6567,2/2/2023,Allin MacDonell
144,Golden Harvest Acres,9,false,63349.66,7816,9/12/2023,Nara Hurne
145,Highland Farm,17,true,21660.23,4695,12/19/2022,Renell Heeks
146,Silver Lake Dairy,9,false,51040.35,850,6/14/2023,Luis Sautter
147,Meadowbrook Estate,32,true,35695.16,1706,5/24/2023,Jennilee Hucquart
148,Autumn Ridge Farm,28,true,46551.08,4112,5/19/2023,Romona Rigeby
149,Maplewood Poultry Farm,30,true,59888.08,4216,3/4/2023,Sherill MacInerney
150,Blue Sky Orchards,10,false,40869.79,6541,1/1/2023,Hephzibah Abbatt
151,Spring Meadow Farm,24,false,61756.08,2216,2/18/2023,Aubrette Matussevich
152,Sunny Meadow Farm,37,true,23575.57,297,10/31/2023,Geneva Akhurst
153,Silver Lake Dairy,5,false,71569.92,8315,5/18/2023,Cahra Leeke
154,Riverbend Cattle Co.,20,false,3078.83,5521,6/9/2023,Ardys Lyngsted
155,Prairie Wind Farms,27,true,44193.74,3765,7/12/2023,Lavena Knightsbridge
156,Maplewood Poultry Farm,10,true,55248.29,2396,7/28/2023,Armand Masham
157,Willow Creek Homestead,26,false,3121.28,2823,4/25/2023,Franklin Petrik
158,Willow Creek Homestead,24,true,80797.61,7467,1/22/2023,Ines Bettaney
159,Twilight Vineyards,10,true,62776.08,7440,3/7/2023,Chantalle Wyllcocks
160,Riverbend Cattle Co.,16,false,8577.96,175,7/6/2023,Thedric Hartright
161,Silver Lake Dairy,1,false,17400.74,8288,8/8/2023,Jennie Hainning
162,Golden Harvest Acres,34,false,27440.61,2061,5/30/2023,Rebecka Godmar
163,Spring Meadow Farm,29,false,13667.62,9591,11/26/2023,Kimberly Wasiel
164,Meadowbrook Estate,20,false,8955.7,9930,12/18/2022,Kacy Boles
165,Spring Meadow Farm,14,true,70000.05,5640,3/27/2023,Washington Malone
166,Silver Lake Dairy,21,false,37897.65,7406,4/13/2023,Ira Kubik
167,Blue Sky Orchards,18,true,81753.16,9914,2/17/2023,Cosmo Harcourt
168,Willow Creek Homestead,20,true,56411.28,5266,12/15/2022,Lurleen Cornwall
169,Eastwood Farms,33,false,16281.86,2136,12/7/2022,Lilith Barreau
170,Prairie Wind Farms,15,false,76045.37,5829,10/15/2023,Mannie Llewellyn
171,Riverbend Cattle Co.,3,true,8132.8,1673,9/9/2023,Archy McAuliffe
172,Riverbend Cattle Co.,12,false,57267.64,7083,12/30/2022,Boot Glossop
173,Spring Meadow Farm,22,true,46288.63,1689,6/1/2023,Claiborne Sidnell
174,Highland Farm,32,false,56631.21,3049,12/14/2022,Betteann Bauer
175,Eastwood Farms,27,true,56305.72,7666,4/9/2023,Kellsie Fitchell
176,Meadowbrook Estate,19,false,11378.68,8441,2/3/2023,Tootsie Brittian
177,Maplewood Poultry Farm,37,false,76185.0,2381,1/17/2023,Melodie Tegeller
178,Prairie Wind Farms,32,true,7545.57,4310,3/13/2023,Veronika Banger
179,Whispering Pines Farmstead,5,false,56827.11,6526,7/23/2023,Keeley Lilliman
180,Golden Harvest Acres,25,false,93809.65,8686,8/12/2023,Leon Riddlesden
181,Sunny Meadow Farm,7,false,89720.3,888,1/18/2023,Aurie Lowensohn
182,Autumn Ridge Farm,39,false,96134.59,6097,6/6/2023,Killie Prudence
183,Autumn Ridge Farm,2,true,34568.79,1707,3/9/2023,Allin MacDonell
184,Blue Sky Orchards,9,true,62739.79,92,12/25/2022,Nara Hurne
185,Blue Sky Orchards,17,false,79699.28,8973,9/14/2023,Renell Heeks
186,Twilight Vineyards,9,true,65119.69,1328,8/1/2023,Luis Sautter
187,Blue Sky Orchards,32,false,22407.01,6697,3/18/2023,Jennilee Hucquart
188,Winterfell Ranch,28,true,22068.74,6897,8/21/2023,Romona Rigeby
189,Golden Harvest Acres,30,true,88900.73,2931,5/23/2023,Sherill MacInerney
190,Winterfell Ranch,10,true,45454.86,9536,1/18/2023,Hephzibah Abbatt
191,Willow Creek Homestead,24,true,52109.13,9491,11/4/2023,Aubrette Matussevich
192,Sunny Meadow Farm,37,false,91234.23,8452,2/25/2023,Geneva Akhurst
193,Autumn Ridge Farm,5,false,70733.17,2112,9/7/2023,Cahra Leeke
194,Riverbend Cattle Co.,20,true,74101.01,1640,4/13/2023,Ardys Lyngsted
195,Blue Sky Orchards,27,true,39798.51,6788,10/10/2023,Lavena Knightsbridge
196,Twilight Vineyards,10,false,60482.28,4126,9/10/2023,Armand Masham
197,Golden Harvest Acres,26,false,80915.72,996,6/19/2023,Franklin Petrik
198,Autumn Ridge Farm,24,true,79378.75,3182,7/15/2023,Ines Bettaney
199,Highland Farm,10,true,75118.86,3894,1/10/2023,Chantalle Wyllcocks
200,Golden Harvest Acres,16,true,54405.66,8572,5/11/2023,Thedric Hartright
201,Spring Meadow Farm,1,true,82452.17,7464,10/7/2023,Jennie Hainning
202,Spring Meadow Farm,34,true,20768.32,6905,10/1/2023,Rebecka Godmar
203,Prairie Wind Farms,29,true,3469.8,2029,9/23/2023,Kimberly Wasiel
204,Prairie Wind Farms,20,false,40344.56,2971,3/27/2023,Kacy Boles
205,Rainforest Coffee Plantation,14,false,2416.03,6807,1/9/2023,Washington Malone
206,Maplewood Poultry Farm,21,false,65800.44,4946,12/5/2023,Ira Kubik
207,Eastwood Farms,18,true,41413.01,9026,6/9/2023,Cosmo Harcourt
208,Sunny Meadow Farm,20,true,83744.5,6961,10/30/2023,Lurleen Cornwall
209,Whispering Pines Farmstead,33,false,54452.41,7683,1/8/2023,Lilith Barreau
210,Sunny Meadow Farm,15,false,69823.95,5646,8/8/2023,Mannie Llewellyn
211,Twilight Vineyards,3,true,2140.73,6379,1/21/2023,Archy McAuliffe
212,Silver Lake Dairy,12,false,38691.37,8332,3/28/2023,Boot Glossop
213,Prairie Wind Farms,22,false,3118.98,1035,12/25/2022,Claiborne Sidnell
214,Blue Sky Orchards,32,false,44399.12,7951,8/5/2023,Betteann Bauer
215,Silver Lake Dairy,27,false,65674.84,7103,11/26/2023,Kellsie Fitchell
216,Sunny Meadow Farm,19,false,23846.57,520,3/8/2023,Tootsie Brittian
217,Prairie Wind Farms,37,false,88008.96,3495,5/22/2023,Melodie Tegeller
218,Twilight Vineyards,32,false,25782.86,6967,5/4/2023,Veronika Banger
219,Prairie Wind Farms,5,false,52240.23,7532,10/22/2023,Keeley Lilliman
220,Willow Creek Homestead,25,false,98909.08,9320,4/5/2023,Leon Riddlesden
221,Riverbend Cattle Co.,7,true,62784.07,2305,10/25/2023,Aurie Lowensohn
222,Meadowbrook Estate,39,true,5216.19,6994,11/29/2023,Killie Prudence
223,Eastwood Farms,2,true,96278.55,7333,4/7/2023,Allin MacDonell
224,Eastwood Farms,9,true,80217.84,9201,7/27/2023,Nara Hurne
225,Sunny Meadow Farm,17,true,85520.78,4798,4/1/2023,Renell Heeks
226,Island Retreat Farm,9,true,27892.11,4079,2/1/2023,Luis Sautter
227,Rolling Hills Vineyard,32,false,39142.65,835,1/25/2023,Jennilee Hucquart
228,Eastwood Farms,28,false,19995.43,9580,7/5/2023,Romona Rigeby
229,Rolling Hills Vineyard,30,false,71271.21,8964,10/22/2023,Sherill MacInerney
230,Sunset Orchard,10,false,83349.15,7596,12/2/2023,Hephzibah Abbatt
231,Riverbend Cattle Co.,24,true,84759.06,845,7/11/2023,Aubrette Matussevich
232,Sunset Orchard,37,true,54931.44,5121,7/21/2023,Geneva Akhurst
233,Twilight Vineyards,5,true,23218.18,7361,1/11/2023,Cahra Leeke
234,Spring Meadow Farm,20,true,67510.15,7887,6/26/2023,Ardys Lyngsted
235,Prairie Wind Farms,27,true,63335.76,4414,2/9/2023,Lavena Knightsbridge
236,Autumn Ridge Farm,10,false,97563.12,2954,7/22/2023,Armand Masham
237,Prairie Wind Farms,26,false,47543.09,9041,10/31/2023,Franklin Petrik
238,Northern Light Farm,24,true,83152.34,228,11/20/2023,Ines Bettaney
239,Highland Farm,10,false,65140.99,3707,4/30/2023,Chantalle Wyllcocks
240,Autumn Ridge Farm,16,true,93163.86,1083,4/13/2023,Thedric Hartright
241,Sunny Meadow Farm,1,true,57279.85,5220,2/9/2023,Jennie Hainning
242,Island Retreat Farm,34,false,60398.93,7655,5/4/2023,Rebecka Godmar
243,Autumn Ridge Farm,29,true,24648.19,1893,4/6/2023,Kimberly Wasiel
244,Willow Creek Homestead,20,true,32964.91,960,5/7/2023,Kacy Boles
245,Twilight Vineyards,14,false,98977.17,6086,7/5/2023,Washington Malone
246,Meadowbrook Estate,21,false,97234.77,4995,3/26/2023,Ira Kubik
247,Blue Sky Orchards,18,true,83573.99,7994,7/9/2023,Cosmo Harcourt
248,Silver Lake Dairy,20,true,55757.34,1181,12/12/2022,Lurleen Cornwall
249,Winterfell Ranch,33,true,58872.46,1872,3/11/2023,Lilith Barreau
250,Autumn Ridge Farm,15,true,47647.27,2875,4/1/2023,Mannie Llewellyn
251,Golden Harvest Acres,3,true,56533.42,3511,11/24/2023,Archy McAuliffe
252,Sunny Meadow Farm,12,false,6036.15,245,12/29/2022,Boot Glossop
253,Whispering Pines Farmstead,22,true,1073.45,14,6/30/2023,Claiborne Sidnell
254,Silver Lake Dairy,32,true,29759.35,8996,1/19/2023,Betteann Bauer
255,Rolling Hills Vineyard,27,true,37413.13,2197,7/10/2023,Kellsie Fitchell
256,Rainforest Coffee Plantation,19,false,38980.29,1686,8/9/2023,Tootsie Brittian
257,Riverbend Cattle Co.,37,false,39564.59,2321,12/6/2023,Melodie Tegeller
258,Northern Light Farm,32,true,38117.58,3635,3/5/2023,Veronika Banger
259,Riverbend Cattle Co.,5,true,98061.29,8446,4/1/2023,Keeley Lilliman
260,Whispering Pines Farmstead,25,true,15402.95,3800,6/1/2023,Leon Riddlesden
261,Riverbend Cattle Co.,7,false,41147.82,9063,3/20/2023,Aurie Lowensohn
262,Meadowbrook Estate,39,false,83545.89,3668,10/22/2023,Killie Prudence
263,Autumn Ridge Farm,2,true,66673.59,5011,10/16/2023,Allin MacDonell
264,Spring Meadow Farm,9,true,62878.32,8939,6/2/2023,Nara Hurne
265,Blue Sky Orchards,17,false,38346.02,8602,9/23/2023,Renell Heeks
266,Rolling Hills Vineyard,9,true,41365.52,46,5/5/2023,Luis Sautter
267,Prairie Wind Farms,32,true,98185.45,2920,4/16/2023,Jennilee Hucquart
268,Spring Meadow Farm,28,true,21370.58,3082,7/3/2023,Romona Rigeby
269,Eastwood Farms,30,true,85271.38,2476,6/8/2023,Sherill MacInerney
270,Northern Light Farm,10,true,16833.26,1214,12/9/2022,Hephzibah Abbatt
271,Rolling Hills Vineyard,24,false,89308.17,7364,8/30/2023,Aubrette Matussevich
272,Meadowbrook Estate,37,false,58283.71,5336,2/7/2023,Geneva Akhurst
273,Blue Sky Orchards,5,true,35906.07,7758,12/15/2022,Cahra Leeke
274,Silver Lake Dairy,20,true,31542.86,5645,7/28/2023,Ardys Lyngsted
275,Willow Creek Homestead,27,false,38556.34,5979,7/12/2023,Lavena Knightsbridge
276,Prairie Wind Farms,10,true,5841.32,2334,10/24/2023,Armand Masham
277,Blue Sky Orchards,26,false,1406.05,6686,9/6/2023,Franklin Petrik
278,Golden Harvest Acres,24,true,68689.71,5420,12/31/2022,Ines Bettaney
279,Riverbend Cattle Co.,10,true,62559.58,4738,10/10/2023,Chantalle Wyllcocks
280,Island Retreat Farm,16,true,88768.39,9873,5/20/2023,Thedric Hartright
281,Sunny Meadow Farm,1,false,20362.89,6588,5/10/2023,Jennie Hainning
282,Island Retreat Farm,34,false,52927.88,7557,6/17/2023,Rebecka Godmar
283,Sunny Meadow Farm,29,false,4041.2,9271,5/25/2023,Kimberly Wasiel
284,Twilight Vineyards,20,true,58657.4,1929,12/17/2022,Kacy Boles
285,Highland Farm,14,false,24513.85,3160,9/26/2023,Washington Malone
286,Sunset Orchard,21,false,56062.86,5462,4/29/2023,Ira Kubik
287,Spring Meadow Farm,18,true,7747.07,8566,4/9/2023,Cosmo Harcourt
288,Whispering Pines Farmstead,20,false,63729.8,1878,3/20/2023,Lurleen Cornwall
289,Winterfell Ranch,33,false,3605.83,4060,12/20/2022,Lilith Barreau
290,Riverbend Cattle Co.,15,false,64399.64,9997,7/15/2023,Mannie Llewellyn
291,Golden Harvest Acres,3,false,55186.62,1670,11/4/2023,Archy McAuliffe
292,Autumn Ridge Farm,12,true,37415.26,8659,2/5/2023,Boot Glossop
293,Willow Creek Homestead,22,true,52634.06,3491,11/17/2023,Claiborne Sidnell
294,Rolling Hills Vineyard,32,false,39843.32,6783,6/18/2023,Betteann Bauer
295,Riverbend Cattle Co.,27,true,75147.99,8523,10/11/2023,Kellsie Fitchell
296,Blue Sky Orchards,19,false,66556.05,5498,1/31/2023,Tootsie Brittian
297,Eastwood Farms,37,false,39392.31,7308,3/25/2023,Melodie Tegeller
298,Riverbend Cattle Co.,32,false,40210.36,3989,3/24/2023,Veronika Banger
299,Prairie Wind Farms,5,true,87365.75,8851,2/4/2023,Keeley Lilliman
300,Maplewood Poultry Farm,25,false,83118.31,7721,4/29/2023,Leon Riddlesden
301,Rainforest Coffee Plantation,7,false,64378.11,1012,8/25/2023,Aurie Lowensohn
302,Winterfell Ranch,39,false,79004.06,6472,7/10/2023,Killie Prudence
303,Eastwood Farms,2,true,91199.88,487,10/15/2023,Allin MacDonell
304,Silver Lake Dairy,9,true,33079.85,1947,11/3/2023,Nara Hurne
305,Eastwood Farms,17,false,27098.24,5829,7/12/2023,Renell Heeks
306,Rainforest Coffee Plantation,9,true,47666.02,5925,4/21/2023,Luis Sautter
307,Rainforest Coffee Plantation,32,false,487.91,8581,9/6/2023,Jennilee Hucquart
308,Northern Light Farm,28,false,26590.66,3121,3/10/2023,Romona Rigeby
309,Maplewood Poultry Farm,30,true,96988.8,7337,1/25/2023,Sherill MacInerney
310,Blue Sky Orchards,10,false,3800.0,650,11/15/2023,Hephzibah Abbatt
311,Northern Light Farm,24,false,327.88,6942,9/1/2023,Aubrette Matussevich
312,Blue Sky Orchards,37,false,63172.56,6432,12/1/2023,Geneva Akhurst
313,Blue Sky Orchards,5,true,26260.88,5943,8/10/2023,Cahra Leeke
314,Autumn Ridge Farm,20,true,49045.22,4030,2/23/2023,Ardys Lyngsted
315,Northern Light Farm,27,true,51829.93,9717,7/8/2023,Lavena Knightsbridge
316,Riverbend Cattle Co.,10,false,76519.44,687,8/3/2023,Armand Masham
317,Blue Sky Orchards,26,true,54777.29,1514,11/10/2023,Franklin Petrik
318,Sunny Meadow Farm,24,true,84426.74,8726,10/12/2023,Ines Bettaney
319,Rolling Hills Vineyard,10,true,46038.56,7244,8/22/2023,Chantalle Wyllcocks
320,Sunny Meadow Farm,16,true,26651.79,5806,6/9/2023,Thedric Hartright
321,Eastwood Farms,1,false,60096.2,3447,12/16/2022,Jennie Hainning
322,Twilight Vineyards,34,false,34714.56,5797,10/5/2023,Rebecka Godmar
323,Autumn Ridge Farm,29,true,71681.84,1975,3/28/2023,Kimberly Wasiel
324,Autumn Ridge Farm,20,false,13896.38,5163,2/18/2023,Kacy Boles
325,Meadowbrook Estate,14,false,99162.56,8301,11/27/2023,Washington Malone
326,Winterfell Ranch,21,true,69437.05,8039,3/27/2023,Ira Kubik
327,Autumn Ridge Farm,18,true,96708.61,7579,5/1/2023,Cosmo Harcourt
328,Whispering Pines Farmstead,20,true,23743.26,6544,3/27/2023,Lurleen Cornwall
329,Eastwood Farms,33,false,66063.14,4207,3/15/2023,Lilith Barreau
330,Golden Harvest Acres,15,false,94416.98,8612,3/3/2023,Mannie Llewellyn
331,Twilight Vineyards,3,false,96088.3,5499,6/6/2023,Archy McAuliffe
332,Winterfell Ranch,12,true,77469.83,3551,5/24/2023,Boot Glossop
333,Eastwood Farms,22,false,41652.65,7745,8/1/2023,Claiborne Sidnell
334,Sunset Orchard,32,false,21099.84,1947,6/9/2023,Betteann Bauer
